Ntriples,CommitTime (ms)
967,3326
1926,7240
2883,9899
3924,11635
4857,12735
5869,13827
6839,15301
7787,16115
8709,16595
9678,17220
10659,18173
11630,18811
12596,19805
13575,20710
14549,21532
15496,22441
16474,23178
17455,23909
18376,24677
19304,26195
20289,26992
21291,27820
22318,28684
23299,29647
24277,31112
25219,32106
26212,33008
27192,34170
28099,34997
29071,35954
30043,36752
31018,37685
31972,38377
32971,38983
33901,39731
34881,40449
35830,41136
36795,42115
37817,43176
38771,44035
39756,45400
40764,47860
41729,48895
42684,49746
43671,51087
44634,52135
45589,53064
46540,54122
47495,55175
48518,57126
49436,57982
50398,58900
51382,59935
52316,60729
53324,61671
54289,63879
55240,64659
56247,65590
57189,66341
58150,67224
59118,68035
60062,69002
60983,69853
61941,70770
62887,71599
63840,72409
64827,74900
65810,75992
66743,76785
67711,77668
68666,78580
69572,79412
70550,80618
71530,81574
72482,82596
73434,84886
74427,85974
75371,86885
76366,87830
77340,88866
78305,90077
79263,90980
80200,91914
81134,92927
82084,93897
83059,94960
84033,95751
84975,96653
85973,97571
86891,98381
87867,99196
88866,99930
89807,100678
90758,101553
91714,102473
92707,103280
93684,104072
94568,104759
95473,105461
96453,106253
97481,107038
98442,107833
99448,108702
100445,109458
101436,110428
102397,111445
103394,112324
104383,113167
105367,114023
106376,114858
107315,115664
108291,116595
109293,117450
110251,119446
111252,120334
112222,121148
113239,121994
114233,122817
115178,123603
116122,124437
117066,125249
118090,126084
119097,126970
120037,127862
121004,128739
121965,129646
122932,130557
123909,131498
124918,133730
125901,134633
126863,135725
127866,136692
128852,137596
129827,138728
130830,139806
131806,140722
132737,141860
133686,144150
134676,149287
135662,150260
136572,151170
137556,152134
138446,154348
139403,157798
140333,161281
141330,162177
142275,163016
143275,163961
144213,164837
145160,165679
146149,166535
147115,167395
148062,168165
148993,169005
149943,169827
150884,171157
151857,172168
152869,173117
153822,173906
154797,174747
155734,175774
156709,176584
157666,177446
158683,178387
159660,179276
160586,180094
161516,181180
162488,182197
163458,183034
